,Type,Item,Description,Sales Tax Code,Quantity On Hand,Price
,Non-inventory Part,001-055,Aiphone intercom system with an outdoor camera and three monitor units. Model Numbers HFX-700M o...,Tax,,1400
,Non-inventory Part,001-056,Phone entry system model number CAPXL.,Tax,,3825
,Non-inventory Part,001-057,Rs232 adapter to usb,Tax,,60
,Non-inventory Part,001-058,EL2000SS Phone entry system.,Tax,,2400
,Non-inventory Part,001-059,Trim kit for EL2000SS,Tax,,450
,Non-inventory Part,2,CHAIN AND MASTER LINKS,Tax,,0
,Non-inventory Part,002:002-001,#25 Chain,Tax,,5
,Non-inventory Part,002:002-002,#35 Chain,Tax,,3.5
,Non-inventory Part,002:002-003,#43 Chain,Tax,,3
,Non-inventory Part,002:002-004, #41 Chain,Tax,,5
,Non-inventory Part,002:002-005,#40 Chain,Tax,,7
,Non-inventory Part,002:002-006,#25 Master Link,Tax,,3
,Non-inventory Part,002:002-007,#35 Master Link,Tax,,5
,Non-inventory Part,002:002-008,#43 Master Link,Tax,,2
,Non-inventory Part,002:002-009,#41 Master Link,Tax,,5
,Non-inventory Part,002:002-010,#40 Master Link,Tax,,7
,Non-inventory Part,002:002-011,1/2 Master Link #41,Tax,,1
,Non-inventory Part,002:002-012,1/2 Master Link #40,Tax,,2
,Non-inventory Part,002:002-013,"Chain Bolt 1/2""",Tax,,20
,Non-inventory Part,002:002-014,"Chain Bolt 3/8""",Tax,,15
,Non-inventory Part,002:002-015,Chain Bracket,Tax,,20
,Non-inventory Part,002:002-016,Sl40 Limit Chain #25,Tax,,50
,Non-inventory Part,002:002-017,SL-3000 Limit Chain #35,Tax,,11
,Non-inventory Part,002:002-018,Chain Lube 12oz Can,Tax,,15
,Non-inventory Part,002:002-019,Chain Cover Small,Tax,,15
,Non-inventory Part,002:002-020,Chain Cover Big,Tax,,45
,Non-inventory Part,002:002-021,Tandem Gate Hardware,Tax,,680
,Non-inventory Part,002:002-022,Chain Cable Assembly,Tax,,45
,Non-inventory Part,002:002-023,Idler Gear,Tax,,45
,Non-inventory Part,002:002-024,"Chain 3/8"" Diameter",Tax,,20
,Non-inventory Part,002-025,#50 Chain,Tax,,18
,Non-inventory Part,002-026,#50 Master Link,Tax,,10
,Non-inventory Part,002-027,ASP17 Chain quick release.,Tax,,216
,Non-inventory Part,3,V-WHEELS AND PARTS,Tax,,0
,Non-inventory Part,003:003-001,4-inch Plastic Wheel,Tax,,50
,Non-inventory Part,003:003-002,"4"" Steel V-wheel sealed bearing",Tax,,60
,Non-inventory Part,003:003-003,"6"" Steel V-wheel sealed bearing",Tax,,90
,Non-inventory Part,003:003-004,Wheel Plate-Pair,Tax,,20
,Non-inventory Part,003:003-005,6-inch Plastic Guide Roller,Tax,,90
,Non-inventory Part,003:003-006,Guide Roller Bracket,Tax,,10
,Non-inventory Part,003:003-007,V-track (per foot),Tax,,15
,Non-inventory Part,003:003-008,"Power Wheel 4""",Tax,,80
,Non-inventory Part,003:003-009,"Power Wheel 6""",Tax,,120
,Non-inventory Part,003:003-010,1/2' x 10' Bolt,Tax,,16
,Non-inventory Part,003:003-011,Guide Roller Assembly,Tax,,145
,Non-inventory Part,003:003-012,End Gear Assembly,Tax,,150
,Non-inventory Part,003:003-013,Carriage Wheels,Tax,,30
,Non-inventory Part,003:003-014,Rubber Wheels / Chain-Link,Tax,,170
